id,question,answer
1,"cuales son los horarios de atencion?","Los horarios de atencion son de 8:00 am a 5:00 pm"
2,"cuales son los dias de atencion?","Los dias de atencion son de lunes a viernes"
3,"cuales son los servicios que ofrecen?","Ofrecemos servicios de salud, educacion, vivienda, alimentacion, empleo, y recreacion"
4,"cuales son los requisitos para recibir ayuda?","Los requisitos son: ser mayor de edad, presentar identificacion oficial, comprobante de domicilio, y comprobante de ingresos"
5,"cuales son los documentos que necesito para recibir ayuda?","Los documentos que necesitas son: identificacion oficial, comprobante de domicilio, y comprobante de ingresos"
6,"cuales son los servicios de salud que ofrecen?","Ofrecemos servicios de medicina general, pediatria, ginecologia, y odontologia"
7,"cuales son los servicios de educacion que ofrecen?","Ofrecemos servicios de primaria, secundaria, preparatoria, y universidad"
8,"cuales son los servicios de vivienda que ofrecen?","Ofrecemos servicios de albergue, casa de transicion, y casa de cuidados"
9,"cuales son los servicios de alimentacion que ofrecen?","Ofrecemos servicios de desayuno, comida, y cena"
10,"cuales son los servicios de empleo que ofrecen?","Ofrecemos servicios de bolsa de trabajo, capacitacion, y asesoria"
