id,question,answer
1,"cuales son los horarios de atencion?","Los horarios de atencion son de 3:00 pm a 9:00 pm"
2,"cuales son los dias de atencion?","Los dias de atencion son de miercoles a lubes"
3,"los helados disponibles son de sabores?","Si, los sabores disponibles son: chocolate, vainilla, cafe con leche, panelita de coco, y corozo"
5,"cual es el precio del helado ñapa?","El precio del helado ñapa es de 8500 pesos"
6,"cual es el precio del helado miguita?","El precio del helado miguita es de 9500 pesos"
7,"cual es el precio del helado pote?","El precio del helado pote es de 22000 pesos"
8,"cual es el precio del helado tambuco?","El precio del helado pote tambuco es de 25000 pesos"
9,"de que tamaño es el helado ñapa?","dos bolas de helado de dos sabores diferentes"
10,"de que tamaño es el helado miguita?","una bola de helado de un solo sabor"
11,"de que tamaño es el helado pote?","El helado pote es de 1/2 litro"
12,"de que tamaño es el helado tambuco?","El helado pote tambuco es de 1 litro"
13,"donde estan ubicados?","Estamos ubicados en la carrera 5 # 10-20, detras de la olimpica de Boston en Sincelejo"
14,"cual es el telefono de contacto?","El telefono de contacto es 301 429 7445"
15,"cual es el costo del domicilio?","El costo del domicilio es de 4000 pesos"
17,"el inventario actual es de los siguientes","El inventario actual es de 10 de chocolate, 10 de vainilla, 10 de cafe con leche, 10 de panelita de coco, y 10 de corozo"
